Ministério da Integração e do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 08/01/2021 Data Final: 31/12/2021 UF: RJ,SP
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
RJ;Magé;20/12/2021;RJ-F-3302502-12300-20211217;12300 - Alagamentos;Registro;228150;0;0;0;0;0;0;0;0;0;0.0;2;0;0.0;2;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Vassouras;06/01/2022;RJ-F-3306206-12300-20211206;12300 - Alagamentos;Registro;34439;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Carapebus;29/11/2021;RJ-F-3300936-12300-20211119;12300 - Alagamentos;Registro;13348;0;0;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Carapebus;11/11/2021;RJ-F-3300936-12300-20211111;12300 - Alagamentos;Registro;13348;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;DE 0% A 5%;;DE 0% A 5%;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Magé;20/10/2021;RJ-F-3302502-12300-20211020;12300 - Alagamentos;Registro;228150;0;0;0;0;2;0;0;1;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Campos dos Goytacazes;02/03/2021;RJ-F-3301009-12300-20210223;12300 - Alagamentos;Registro;463545;0;0;0;0;19;0;61;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Aperibé;10/02/2021;RJ-F-3300159-12300-20210208;12300 - Alagamentos;Registro;10215;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Santo Antônio de Pádua;07/02/2021;RJ-F-3304706-12300-20210207;12300 - Alagamentos;Registro;40569;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Magé;11/01/2021;RJ-F-3302502-12300-20210110;12300 - Alagamentos;Registro;228150;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RJ;Silva Jardim;25/01/2021;RJ-F-3305604-12300-20210109;12300 - Alagamentos;Registro;21360;0;0;0;0;0;0;600;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
